name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand,price_category,mileage_category,age_category,log_price,owner_encoded,transmission_encoded,fuel_encoded,seller_type_encoded,brand_encoded,price_category_encoded,mileage_category_encoded,age_category_encoded
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,17,Maruti,Budget,Medium,Very Old,11.002099841204238,0,0,4,1,18,0,1,3
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,17,Maruti,Budget,Low,Very Old,11.813030057420567,0,0,4,1,18,0,0,3
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,12,Hyundai,Mid-Range,Medium,Old,13.304684934198283,0,0,1,1,10,1,1,2
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,7,Datsun,Budget,Low,Recent,12.429216196844383,0,0,4,1,5,0,0,1
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,10,Honda,Mid-Range,High,Old,13.017002861746503,1,0,1,1,9,1,2,2
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,17,Maruti,Budget,High,Very Old,11.84939770159144,0,0,4,1,18,0,2,3
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,8,Hyundai,Mid-Range,Low,Old,13.217673557208654,0,0,4,1,10,1,0,2
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,10,Tata,Budget,Medium,Old,12.388394202324129,1,0,4,1,25,0,1,2
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,9,Hyundai,Premium,Low,Old,13.652991628466498,0,0,4,1,10,2,0,2
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,7,Maruti,Mid-Range,Medium,Recent,12.80765263256463,0,0,0,1,18,1,1,1
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,9,Chevrolet,Budget,Low,Old,12.468436909997665,0,0,4,1,3,0,0,2
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,10,Tata,Budget,Medium,Old,12.429216196844383,0,0,4,1,25,0,1,2
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,6,Toyota,Luxury,Low,Recent,14.316285845876763,0,1,4,0,26,3,0,1
Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,First Owner,9,Maruti,Mid-Range,Low,Old,13.279367126213993,0,0,4,0,18,1,0,2
Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,First Owner,5,Hyundai,Luxury,Low,Recent,13.993656743347747,0,0,1,0,10,3,0,1
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,Second Owner,11,Chevrolet,Mid-Range,Low,Old,12.873902018105829,1,0,1,1,3,1,0,2
Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,First Owner,10,Jaguar,Luxury,Low,Old,14.491002294379516,0,1,1,0,12,3,0,2
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,11,Mercedes-Benz,Luxury,Medium,Old,14.169682371684887,0,1,1,0,19,3,1,2
Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Dealer,Automatic,First Owner,6,Maruti,Premium,Low,Recent,13.790192749979985,0,1,1,0,18,2,0,1
Audi Q5 2.0 TDI,2011,1190000,175900,Diesel,Dealer,Automatic,First Owner,13,Audi,Luxury,High,Old,13.989463865087712,0,1,1,0,1,3,2,2
Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,First Owner,6,Honda,Premium,Low,Recent,13.742939865129438,0,0,4,0,9,2,0,1
Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,First Owner,6,Tata,Mid-Range,Low,Recent,13.17115354157376,0,0,4,1,25,1,0,1
Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,First Owner,11,Audi,Luxury,Low,Old,14.366517971363097,0,1,1,0,1,3,0,2
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,Second Owner,12,Mercedes-Benz,Luxury,Low,Old,14.133964289082808,1,1,1,0,19,3,0,2
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Dealer,Automatic,Second Owner,13,Skoda,Mid-Range,High,Old,13.017002861746503,1,1,1,0,24,1,2,2
Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,First Owner,8,Toyota,Premium,Low,Old,13.710150042306449,0,1,4,1,26,2,0,2
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,First Owner,9,Toyota,Luxury,Medium,Old,14.077874822431765,0,0,1,1,26,3,1,2
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,Manual,First Owner,5,Jeep,Luxury,Low,Recent,14.151982794585487,0,0,4,1,13,3,0,1
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Dealer,Automatic,First Owner,14,Mercedes-Benz,Premium,High,Old,13.652991628466498,0,1,4,0,19,2,2,2
Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,10,Hyundai,Budget,Medium,Old,12.345830240069793,3,0,4,1,10,0,1,2
BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner,11,BMW,Luxury,Medium,Old,14.253765488895429,1,1,1,0,2,3,1,2
Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner,15,Audi,Luxury,Medium,Old,14.038654109278484,2,1,1,0,1,3,1,2
Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner,12,Hyundai,Premium,Low,Old,13.345506928718539,0,0,1,1,10,2,0,2
Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Individual,Manual,First Owner,10,Mahindra,Luxury,Low,Old,13.864300722133706,0,0,1,1,17,3,0,2
Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner,10,Honda,Mid-Range,Medium,Old,13.235692062711331,1,0,1,1,9,1,1,2
Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner,10,Maruti,Budget,Medium,Old,12.577636201962656,1,0,4,1,18,0,1,2
Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,Second Owner,12,Maruti,Budget,Medium,Old,12.524526376648708,1,0,4,1,18,0,1,2
Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,Second Owner,15,Mahindra,Mid-Range,High,Old,12.926348493478372,1,0,1,1,17,1,2,2
Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,Third Owner,15,Hyundai,Budget,Medium,Old,11.918390573078392,2,0,4,1,10,0,1,2
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,First Owner,5,Hyundai,Mid-Range,Low,Recent,13.122363377404328,0,0,4,1,10,1,0,1
Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner,18,Maruti,Budget,Medium,Very Old,11.512925464970229,0,0,4,1,18,0,1,3
Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner,7,Maruti,Premium,Low,Recent,13.493926933836812,0,0,1,0,18,2,0,1
Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner,6,Maruti,Mid-Range,Low,Recent,12.901716706288706,0,0,4,0,18,1,0,1
Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner,6,Hyundai,Premium,Low,Recent,13.527828485512494,0,0,1,0,10,2,0,1
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First Owner,6,Maruti,Mid-Range,Low,Recent,12.644327576461329,0,0,4,0,18,1,0,1
Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner,8,Maruti,Premium,Low,Old,13.407542319637992,0,0,1,0,18,2,0,2
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner,10,Hyundai,Mid-Range,Medium,Old,13.049792684569493,0,0,1,0,10,1,1,2
Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner,12,Maruti,Budget,Medium,Old,11.982929094215963,1,0,4,1,18,0,1,2
Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner,28,Mahindra,Budget,Low,Very Old,12.429216196844383,1,0,1,1,17,0,0,3
Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner,10,Honda,Premium,Medium,Old,13.422467969854667,0,0,1,0,9,2,1,2
Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner,11,Maruti,Budget,Medium,Old,12.611537753638338,0,0,4,0,18,0,1,2
Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner,19,Tata,Budget,Medium,Very Old,11.156250521031495,0,0,1,1,25,0,1,3
Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,10,Hyundai,Budget,Medium,Old,12.388394202324129,1,0,4,0,10,0,1,2
Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner,10,Toyota,Mid-Range,Medium,Old,13.17115354157376,0,0,1,0,26,1,1,2
Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,15,Maruti,Budget,Medium,Old,11.925035115797062,1,0,4,0,18,0,1,2
Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner,15,Maruti,Budget,Medium,Old,11.84939770159144,0,0,4,1,18,0,1,2
