car_age,km_driven,fuel_encoded,seller_type_encoded,transmission_encoded,owner_encoded,brand_encoded,selling_price,name,year,brand,fuel,seller_type,transmission,owner,price_category,mileage_category,age_category,price_category_encoded,mileage_category_encoded,age_category_encoded,log_price
17,70000,4,1,0,0,18,60000,Maruti 800 AC,2007,Maruti,Petrol,Individual,Manual,First Owner,Budget,Medium,Very Old,0,1,3,11.002099841204238
17,50000,4,1,0,0,18,135000,Maruti Wagon R LXI Minor,2007,Maruti,Petrol,Individual,Manual,First Owner,Budget,Low,Very Old,0,0,3,11.813030057420567
12,100000,1,1,0,0,10,600000,Hyundai Verna 1.6 SX,2012,Hyundai,Diesel,Individual,Manual,First Owner,Mid-Range,Medium,Old,1,1,2,13.304684934198283
7,46000,4,1,0,0,5,250000,Datsun RediGO T Option,2017,Datsun,Petrol,Individual,Manual,First Owner,Budget,Low,Recent,0,0,1,12.429216196844383
10,141000,1,1,0,1,9,450000,Honda Amaze VX i-DTEC,2014,Honda,Diesel,Individual,Manual,Second Owner,Mid-Range,High,Old,1,2,2,13.017002861746503
17,125000,4,1,0,0,18,140000,Maruti Alto LX BSIII,2007,Maruti,Petrol,Individual,Manual,First Owner,Budget,High,Very Old,0,2,3,11.84939770159144
8,25000,4,1,0,0,10,550000,Hyundai Xcent 1.2 Kappa S,2016,Hyundai,Petrol,Individual,Manual,First Owner,Mid-Range,Low,Old,1,0,2,13.217673557208654
10,60000,4,1,0,1,25,240000,Tata Indigo Grand Petrol,2014,Tata,Petrol,Individual,Manual,Second Owner,Budget,Medium,Old,0,1,2,12.388394202324129
9,25000,4,1,0,0,10,850000,Hyundai Creta 1.6 VTVT S,2015,Hyundai,Petrol,Individual,Manual,First Owner,Premium,Low,Old,2,0,2,13.652991628466498
7,78000,0,1,0,0,18,365000,Maruti Celerio Green VXI,2017,Maruti,CNG,Individual,Manual,First Owner,Mid-Range,Medium,Recent,1,1,1,12.80765263256463
9,35000,4,1,0,0,3,260000,Chevrolet Sail 1.2 Base,2015,Chevrolet,Petrol,Individual,Manual,First Owner,Budget,Low,Old,0,0,2,12.468436909997665
10,100000,4,1,0,0,25,250000,Tata Indigo Grand Petrol,2014,Tata,Petrol,Individual,Manual,First Owner,Budget,Medium,Old,0,1,2,12.429216196844383
6,25000,4,0,1,0,26,1650000,Toyota Corolla Altis 1.8 VL CVT,2018,Toyota,Petrol,Dealer,Automatic,First Owner,Luxury,Low,Recent,3,0,1,14.316285845876763
9,24000,4,0,0,0,18,585000,Maruti Ciaz VXi Plus,2015,Maruti,Petrol,Dealer,Manual,First Owner,Mid-Range,Low,Old,1,0,2,13.279367126213993
5,5000,1,0,0,0,10,1195000,Hyundai Venue SX Opt Diesel,2019,Hyundai,Diesel,Dealer,Manual,First Owner,Luxury,Low,Recent,3,0,1,13.993656743347747
11,33000,1,1,0,1,3,390000,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,Chevrolet,Diesel,Individual,Manual,Second Owner,Mid-Range,Low,Old,1,0,2,12.873902018105829
10,28000,1,0,1,0,12,1964999,Jaguar XF 2.2 Litre Luxury,2014,Jaguar,Diesel,Dealer,Automatic,First Owner,Luxury,Low,Old,3,0,2,14.491002294379516
11,59000,1,0,1,0,19,1425000,Mercedes-Benz New C-Class 220 CDI AT,2013,Mercedes-Benz,Diesel,Dealer,Automatic,First Owner,Luxury,Medium,Old,3,1,2,14.169682371684887
6,4500,1,0,1,0,18,975000,Maruti Vitara Brezza ZDi Plus AMT,2018,Maruti,Diesel,Dealer,Automatic,First Owner,Premium,Low,Recent,2,0,1,13.790192749979985
13,175900,1,0,1,0,1,1190000,Audi Q5 2.0 TDI,2011,Audi,Diesel,Dealer,Automatic,First Owner,Luxury,High,Old,3,2,2,13.989463865087712
