car_age,km_driven,fuel_encoded,seller_type_encoded,transmission_encoded,owner_encoded,brand_encoded,selling_price,log_price
17,70000,4,1,0,0,18,60000,11.002099841204238
17,50000,4,1,0,0,18,135000,11.813030057420567
12,100000,1,1,0,0,10,600000,13.304684934198283
7,46000,4,1,0,0,5,250000,12.429216196844383
10,141000,1,1,0,1,9,450000,13.017002861746503
17,125000,4,1,0,0,18,140000,11.84939770159144
8,25000,4,1,0,0,10,550000,13.217673557208654
10,60000,4,1,0,1,25,240000,12.388394202324129
9,25000,4,1,0,0,10,850000,13.652991628466498
7,78000,0,1,0,0,18,365000,12.80765263256463
9,35000,4,1,0,0,3,260000,12.468436909997665
10,100000,4,1,0,0,25,250000,12.429216196844383
6,25000,4,0,1,0,26,1650000,14.316285845876763
9,24000,4,0,0,0,18,585000,13.279367126213993
5,5000,1,0,0,0,10,1195000,13.993656743347747
11,33000,1,1,0,1,3,390000,12.873902018105829
10,28000,1,0,1,0,12,1964999,14.491002294379516
11,59000,1,0,1,0,19,1425000,14.169682371684887
6,4500,1,0,1,0,18,975000,13.790192749979985
13,175900,1,0,1,0,1,1190000,13.989463865087712
6,14500,4,0,0,0,9,930000,13.742939865129438
6,15000,4,1,0,0,25,525000,13.17115354157376
11,50000,1,0,1,0,1,1735000,14.366517971363097
12,33800,1,0,1,1,19,1375000,14.133964289082808
13,130400,1,0,1,1,24,450000,13.017002861746503
8,50000,4,1,1,0,26,900000,13.710150042306449
9,80000,1,1,0,0,26,1300000,14.077874822431765
5,10000,4,1,0,0,13,1400000,14.151982794585487
14,119000,4,0,1,0,19,850000,13.652991628466498
10,60000,4,1,0,3,10,229999,12.345830240069793
11,75800,1,0,1,1,2,1550000,14.253765488895429
15,78000,1,0,1,2,1,1250000,14.038654109278484
12,40000,1,1,0,0,10,625000,13.345506928718539
10,50000,1,1,0,0,17,1050000,13.864300722133706
10,74000,1,1,0,1,9,560000,13.235692062711331
10,64000,4,1,0,1,18,290000,12.577636201962656
12,60000,4,1,0,1,18,275000,12.524526376648708
15,120000,1,1,0,1,17,411000,12.926348493478372
15,79000,4,1,0,2,10,150000,11.918390573078392
5,15000,4,1,0,0,10,500000,13.122363377404328
18,80000,4,1,0,0,18,100000,11.512925464970229
7,18500,1,0,0,0,18,725000,13.493926933836812
6,10200,4,0,0,0,18,401000,12.901716706288706
6,29000,1,0,0,0,10,750000,13.527828485512494
6,28000,4,0,0,0,18,310000,12.644327576461329
8,46000,1,0,0,0,18,665000,13.407542319637992
10,70000,1,0,0,0,10,465000,13.049792684569493
12,60000,4,1,0,1,18,160000,11.982929094215963
28,35000,1,1,0,1,17,250000,12.429216196844383
10,90000,1,0,0,0,9,675000,13.422467969854667
11,80000,4,0,0,0,18,300000,12.611537753638338
19,80000,1,1,0,0,25,70000,11.156250521031495
10,73300,4,0,0,1,10,240000,12.388394202324129
10,92000,1,0,0,0,26,525000,13.17115354157376
15,66764,4,0,0,1,18,151000,11.925035115797062
15,100000,4,1,0,0,18,140000,11.84939770159144
14,350000,1,1,0,1,3,280000,12.542544882151386
13,230000,1,1,0,0,26,350000,12.765688433465597
7,60000,1,1,0,0,17,570000,13.253391639810733
6,31000,4,1,0,0,10,300000,12.611537753638338
17,39000,1,1,0,0,25,100000,11.512925464970229
15,120000,1,1,0,2,26,500000,13.122363377404328
10,166000,1,1,0,3,25,125000,11.736069016284437
18,110000,4,1,0,2,18,130000,11.77528972943772
7,35000,1,1,0,0,8,925000,13.737549016494562
6,60000,1,1,0,0,18,750000,13.527828485512494
17,54000,4,1,1,1,9,200000,12.206072645530174
14,63000,4,1,0,1,10,248000,12.421184025147118
10,120000,1,1,0,1,24,450000,13.017002861746503
19,120000,4,1,0,2,10,80000,11.289781913656018
10,76000,4,1,0,1,21,650000,13.38472764187182
9,80000,1,1,0,0,10,450000,13.017002861746503
5,25000,1,1,0,0,10,650000,13.38472764187182
8,11958,4,0,0,0,9,495000,13.112313041550827
9,20000,4,0,0,0,9,371000,12.823957341589573
7,9000,4,0,0,0,10,1025000,13.840203170554645
7,6500,1,0,1,0,19,8150000,15.913528485217045
9,70000,1,1,0,0,17,750000,13.527828485512494
11,120000,1,1,0,0,23,600000,13.304684934198283
17,58000,4,0,0,1,10,80000,11.289781913656018
11,62200,1,0,0,0,17,325000,12.691580461311874
10,34000,1,0,1,1,1,1470000,14.20077295875492
9,53000,1,1,0,1,6,350000,12.765688433465597
11,49000,1,0,1,0,1,2800000,14.845129975145433
7,15000,4,0,0,1,5,210000,12.254862809699606
11,50000,4,1,0,0,27,450000,13.017002861746503
11,53000,1,0,1,0,1,1150000,13.955272500339433
15,63500,4,0,1,0,9,210000,12.254862809699606
6,9800,4,0,1,0,19,4500000,15.319587954740548
7,13000,1,1,1,0,2,2750000,14.827111469642754
6,21000,1,0,1,0,28,1975000,14.496078956317358
16,29173,4,0,0,0,18,175000,12.072541252905651
12,48000,1,0,1,0,2,2500000,14.73180128983843
7,120000,1,1,0,0,17,628000,13.350295445450335
14,100000,1,1,0,0,10,600000,13.304684934198283
7,30000,4,1,0,0,21,399000,12.896716695872
6,87000,1,1,0,0,17,750000,13.527828485512494
5,15000,4,1,0,0,10,750000,13.527828485512494
7,16000,4,1,0,0,23,315000,12.66032791780777
12,60000,1,1,0,0,17,600000,13.304684934198283
14,60000,4,1,0,3,18,100000,11.512925464970229
13,110000,4,1,0,2,18,250000,12.429216196844383
7,25000,4,1,0,0,23,350000,12.765688433465597
8,60000,1,1,0,0,10,780000,13.567049198665774
10,79350,1,1,0,1,18,434000,12.980799813082541
8,80000,4,1,1,0,10,690000,13.444446876573442
10,90000,1,1,0,1,17,555000,13.226723392728571
17,90000,4,1,0,1,18,120000,11.695247021764184
10,120000,1,1,0,1,18,500000,13.122363377404328
11,60000,1,1,0,1,3,165000,12.013700752882718
20,50000,4,1,0,0,18,95000,11.461632170582678
6,20000,4,1,0,0,18,550000,13.217673557208654
17,110000,1,1,0,3,18,100000,11.512925464970229
12,50000,4,1,0,1,25,100000,11.512925464970229
12,100000,1,1,0,0,26,500000,13.122363377404328
8,70000,1,1,0,1,18,800000,13.592367006650065
8,70000,1,1,0,1,10,840000,13.641157170819497
8,50000,4,1,0,0,9,490000,13.102160670086809
14,81000,1,1,0,1,25,125000,11.736069016284437
12,120000,1,1,0,2,3,400000,12.89921982609012
9,3600,1,0,0,0,3,1000000,13.815510557964274
9,14272,4,0,0,0,8,530000,13.180632285528304
7,49213,1,0,0,0,8,840000,13.641157170819497
9,40000,4,1,0,0,10,229999,12.345830240069793
26,40000,4,1,0,3,18,40000,10.596634733096073
12,80000,4,1,0,0,3,130000,11.77528972943772
9,70000,4,1,0,0,10,200000,12.206072645530174
13,70000,1,1,0,0,25,120000,11.695247021764184
21,57000,4,1,0,0,10,75000,11.225243392518447
