name,selling_price,car_age,km_driven,brand,fuel,transmission,owner,cluster_kmeans,cluster_dbscan,high_risk
Maruti 800 AC,60000,17,70000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Wagon R LXI Minor,135000,17,50000,Maruti,Petrol,Manual,First Owner,2,0,0
Hyundai Verna 1.6 SX,600000,12,100000,Hyundai,Diesel,Manual,First Owner,0,1,0
Datsun RediGO T Option,250000,7,46000,Datsun,Petrol,Manual,First Owner,2,0,0
Honda Amaze VX i-DTEC,450000,10,141000,Honda,Diesel,Manual,Second Owner,0,2,0
Maruti Alto LX BSIII,140000,17,125000,Maruti,Petrol,Manual,First Owner,1,0,1
Hyundai Xcent 1.2 Kappa S,550000,8,25000,Hyundai,Petrol,Manual,First Owner,2,0,0
Tata Indigo Grand Petrol,240000,10,60000,Tata,Petrol,Manual,Second Owner,2,3,0
Hyundai Creta 1.6 VTVT S,850000,9,25000,Hyundai,Petrol,Manual,First Owner,2,0,0
Maruti Celerio Green VXI,365000,7,78000,Maruti,CNG,Manual,First Owner,0,-1,0
Chevrolet Sail 1.2 Base,260000,9,35000,Chevrolet,Petrol,Manual,First Owner,2,0,0
Tata Indigo Grand Petrol,250000,10,100000,Tata,Petrol,Manual,First Owner,2,0,0
Toyota Corolla Altis 1.8 VL CVT,1650000,6,25000,Toyota,Petrol,Automatic,First Owner,3,-1,0
Maruti Ciaz VXi Plus,585000,9,24000,Maruti,Petrol,Manual,First Owner,2,0,0
Hyundai Venue SX Opt Diesel,1195000,5,5000,Hyundai,Diesel,Manual,First Owner,0,1,0
Chevrolet Enjoy TCDi LTZ 7 Seater,390000,11,33000,Chevrolet,Diesel,Manual,Second Owner,0,2,0
Jaguar XF 2.2 Litre Luxury,1964999,10,28000,Jaguar,Diesel,Automatic,First Owner,3,-1,0
Mercedes-Benz New C-Class 220 CDI AT,1425000,11,59000,Mercedes-Benz,Diesel,Automatic,First Owner,3,4,0
Maruti Vitara Brezza ZDi Plus AMT,975000,6,4500,Maruti,Diesel,Automatic,First Owner,3,-1,0
Audi Q5 2.0 TDI,1190000,13,175900,Audi,Diesel,Automatic,First Owner,3,-1,0
Honda City V MT,930000,6,14500,Honda,Petrol,Manual,First Owner,2,0,0
Tata Tigor 1.2 Revotron XT,525000,6,15000,Tata,Petrol,Manual,First Owner,2,0,0
Audi A6 2.0 TDI  Design Edition,1735000,11,50000,Audi,Diesel,Automatic,First Owner,3,4,0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,1375000,12,33800,Mercedes-Benz,Diesel,Automatic,Second Owner,3,-1,0
Skoda Superb Ambition 2.0 TDI CR AT,450000,13,130400,Skoda,Diesel,Automatic,Second Owner,3,-1,0
Toyota Corolla Altis G AT,900000,8,50000,Toyota,Petrol,Automatic,First Owner,3,5,0
Toyota Innova 2.5 G (Diesel) 7 Seater,1300000,9,80000,Toyota,Diesel,Manual,First Owner,0,1,0
Jeep Compass 1.4 Sport Plus BSIV,1400000,5,10000,Jeep,Petrol,Manual,First Owner,2,0,0
Mercedes-Benz E-Class E 200 CGI Elegance,850000,14,119000,Mercedes-Benz,Petrol,Automatic,First Owner,3,-1,0
Hyundai i10 Magna 1.1L,229999,10,60000,Hyundai,Petrol,Manual,Fourth & Above Owner,1,-1,0
BMW 3 Series 320d Sport Line,1550000,11,75800,BMW,Diesel,Automatic,Second Owner,3,-1,0
Audi Q7 35 TDI Quattro Premium,1250000,15,78000,Audi,Diesel,Automatic,Third Owner,3,-1,0
Hyundai Elantra CRDi S,625000,12,40000,Hyundai,Diesel,Manual,First Owner,0,1,0
Mahindra Scorpio 1.99 S10,1050000,10,50000,Mahindra,Diesel,Manual,First Owner,0,1,0
Honda City i DTEC V,560000,10,74000,Honda,Diesel,Manual,Second Owner,0,2,0
Maruti Wagon R VXI BS IV with ABS,290000,10,64000,Maruti,Petrol,Manual,Second Owner,2,3,0
Maruti Wagon R VXI BS IV,275000,12,60000,Maruti,Petrol,Manual,Second Owner,2,3,0
Mahindra Scorpio LX,411000,15,120000,Mahindra,Diesel,Manual,Second Owner,1,2,0
Hyundai Santro Xing GLS,150000,15,79000,Hyundai,Petrol,Manual,Third Owner,1,6,0
